Month,Export Country,Export Continent,US Dollar Value,Tonnes,Data Type
Jul,Spain,Europe,1115717.63,775.75,Estimate
Aug,Spain,Europe,1117574.05,781.22,Estimate
Sep,Spain,Europe,1119430.48,786.69,Estimate
Oct,Spain,Europe,1121286.90,792.16,Estimate
Nov,Spain,Europe,1123143.32,797.63,Estimate
Dec,Spain,Europe,1124999.74,803.10,Estimate
Jan,Sri Lanka,Asia,38980.00,31.00,Actual
Feb,Sri Lanka,Asia,32585.42,2.67,Estimate
Mar,Sri Lanka,Asia,32654.55,2.74,Estimate
Apr,Sri Lanka,Asia,32723.68,2.82,Estimate
May,Sri Lanka,Asia,32792.81,2.90,Estimate
Jun,Sri Lanka,Asia,32861.94,2.97,Estimate
Jul,Sri Lanka,Asia,32931.07,3.05,Estimate
Aug,Sri Lanka,Asia,33000.20,3.13,Estimate
Sep,Sri Lanka,Asia,33069.33,3.20,Estimate
Oct,Sri Lanka,Asia,33138.46,3.28,Estimate
Nov,Sri Lanka,Asia,33207.59,3.36,Estimate
Dec,Sri Lanka,Asia,33276.72,3.43,Estimate
Jan,Sudan,Africa,328001.00,226.13,Actual
Feb,Sudan,Africa,292876.09,206.30,Estimate
Mar,Sudan,Africa,297709.88,210.28,Estimate
Apr,Sudan,Africa,302543.66,214.26,Estimate
May,Sudan,Africa,307377.45,218.24,Estimate
Jun,Sudan,Africa,312211.24,222.21,Estimate
Jul,Sudan,Africa,317045.02,226.19,Estimate
Aug,Sudan,Africa,321878.81,230.17,Estimate
Sep,Sudan,Africa,326712.59,234.15,Estimate
Oct,Sudan,Africa,331546.38,238.13,Estimate
Nov,Sudan,Africa,336380.17,242.11,Estimate
Dec,Sudan,Africa,341213.95,246.09,Estimate
Jan,Suriname,Latin America,14105.00,10.00,Actual
Feb,Suriname,Latin America,18578.16,1.00,Estimate
Jan,Sweden,Europe,485776.00,305.70,Actual
Feb,Sweden,Europe,513302.46,333.38,Estimate
Mar,Sweden,Europe,513658.84,335.02,Estimate
Apr,Sweden,Europe,514015.22,336.67,Estimate
May,Sweden,Europe,514371.60,338.31,Estimate
Jun,Sweden,Europe,514727.98,339.95,Estimate
Jul,Sweden,Europe,515084.36,341.59,Estimate
Aug,Sweden,Europe,515440.74,343.23,Estimate
Sep,Sweden,Europe,515797.12,344.88,Estimate
Oct,Sweden,Europe,516153.49,346.52,Estimate
Nov,Sweden,Europe,516509.87,348.16,Estimate
Dec,Sweden,Europe,516866.25,349.80,Estimate
Jan,Switzerland,Europe,172185.00,118.32,Actual
Feb,Switzerland,Europe,133377.97,76.75,Estimate
Mar,Switzerland,Europe,134246.29,77.62,Estimate
Apr,Switzerland,Europe,135114.61,78.49,Estimate
May,Switzerland,Europe,135982.93,79.37,Estimate
Jun,Switzerland,Europe,136851.25,80.24,Estimate
Jul,Switzerland,Europe,137719.56,81.11,Estimate
Aug,Switzerland,Europe,138587.88,81.98,Estimate
Sep,Switzerland,Europe,139456.20,82.86,Estimate
Oct,Switzerland,Europe,140324.52,83.73,Estimate
Nov,Switzerland,Europe,141192.84,84.60,Estimate
Dec,Switzerland,Europe,142061.16,85.47,Estimate
Jan,Taiwan,Asia,30867.00,21.00,Actual
Feb,Taiwan,Asia,103441.47,47.01,Estimate
Mar,Taiwan,Asia,105321.91,48.29,Estimate
Apr,Taiwan,Asia,107202.36,49.56,Estimate
May,Taiwan,Asia,109082.80,50.84,Estimate
Jun,Taiwan,Asia,110963.25,52.11,Estimate
Jul,Taiwan,Asia,112843.69,53.39,Estimate
Aug,Taiwan,Asia,114724.14,54.67,Estimate
Sep,Taiwan,Asia,116604.58,55.94,Estimate
Oct,Taiwan,Asia,118485.03,57.22,Estimate
Nov,Taiwan,Asia,120365.48,58.49,Estimate
Dec,Taiwan,Asia,122245.92,59.77,Estimate
Jan,Tanzania,Africa,363711.00,246.55,Actual
Feb,Tanzania,Africa,261369.79,204.74,Estimate
Mar,Tanzania,Africa,257317.08,203.59,Estimate
Apr,Tanzania,Africa,253264.36,202.44,Estimate
May,Tanzania,Africa,249211.65,201.29,Estimate
Jun,Tanzania,Africa,245158.94,200.15,Estimate
Jul,Tanzania,Africa,241106.22,199.00,Estimate
Aug,Tanzania,Africa,237053.51,197.85,Estimate
Sep,Tanzania,Africa,233000.80,196.70,Estimate
Oct,Tanzania,Africa,228948.08,195.55,Estimate
Nov,Tanzania,Africa,224895.37,194.40,Estimate
Dec,Tanzania,Africa,220842.66,193.26,Estimate
Jan,Thailand,Asia,444027.00,278.00,Actual
Feb,Thailand,Asia,547535.41,376.24,Estimate
Mar,Thailand,Asia,542858.26,376.26,Estimate
Apr,Thailand,Asia,538181.10,376.29,Estimate
May,Thailand,Asia,533503.94,376.32,Estimate
Jun,Thailand,Asia,528826.78,376.35,Estimate
Jul,Thailand,Asia,524149.63,376.37,Estimate
Aug,Thailand,Asia,519472.47,376.40,Estimate
Sep,Thailand,Asia,514795.31,376.43,Estimate
Oct,Thailand,Asia,510118.15,376.46,Estimate
Nov,Thailand,Asia,505440.99,376.48,Estimate
Dec,Thailand,Asia,500763.84,376.51,Estimate
Jan,Togo,Africa,624949.00,413.78,Actual
Feb,Togo,Africa,698190.82,503.45,Estimate
Mar,Togo,Africa,708729.60,512.25,Estimate
Apr,Togo,Africa,719268.39,521.06,Estimate
May,Togo,Africa,729807.17,529.86,Estimate
Jun,Togo,Africa,740345.96,538.66,Estimate
Jul,Togo,Africa,750884.75,547.46,Estimate
Aug,Togo,Africa,761423.53,556.26,Estimate
Sep,Togo,Africa,771962.32,565.06,Estimate
Oct,Togo,Africa,782501.11,573.86,Estimate
Nov,Togo,Africa,793039.89,582.67,Estimate
Dec,Togo,Africa,803578.68,591.47,Estimate
Jan,Trinidad and Tobago,Latin America,48868.00,33.02,Actual
Feb,Trinidad and Tobago,Latin America,51142.58,25.01,Estimate
Mar,Trinidad and Tobago,Latin America,51636.87,25.48,Estimate
Apr,Trinidad and Tobago,Latin America,52131.15,25.95,Estimate
May,Trinidad and Tobago,Latin America,52625.44,26.43,Estimate
Jun,Trinidad and Tobago,Latin America,53119.72,26.90,Estimate
Jul,Trinidad and Tobago,Latin America,53614.01,27.38,Estimate
Aug,Trinidad and Tobago,Latin America,54108.29,27.85,Estimate
Sep,Trinidad and Tobago,Latin America,54602.58,28.32,Estimate
Oct,Trinidad and Tobago,Latin America,55096.86,28.80,Estimate
Nov,Trinidad and Tobago,Latin America,55591.15,29.27,Estimate
Dec,Trinidad and Tobago,Latin America,56085.44,29.75,Estimate
Jan,Turkey,Asia,153379.00,98.91,Actual
Feb,Turkey,Asia,96699.90,39.08,Estimate
Mar,Turkey,Asia,95206.36,39.03,Estimate
Apr,Turkey,Asia,93712.81,38.99,Estimate
May,Turkey,Asia,92219.27,38.94,Estimate
Jun,Turkey,Asia,90725.73,38.89,Estimate
Jul,Turkey,Asia,89232.19,38.85,Estimate
Aug,Turkey,Asia,87738.64,38.80,Estimate
Sep,Turkey,Asia,86245.10,38.76,Estimate
Oct,Turkey,Asia,84751.56,38.71,Estimate
Nov,Turkey,Asia,83258.02,38.67,Estimate
Dec,Turkey,Asia,81764.48,38.62,Estimate
Jan,United Arab Emirates,Asia,12607694.00,7776.21,Actual
Feb,United Arab Emirates,Asia,12539557.80,8756.27,Estimate
Mar,United Arab Emirates,Asia,12412628.22,8746.81,Estimate
Apr,United Arab Emirates,Asia,12285698.63,8737.36,Estimate
May,United Arab Emirates,Asia,12158769.05,8727.90,Estimate
Jun,United Arab Emirates,Asia,12031839.47,8718.45,Estimate
Jul,United Arab Emirates,Asia,11904909.89,8708.99,Estimate
Aug,United Arab Emirates,Asia,11777980.30,8699.54,Estimate
Sep,United Arab Emirates,Asia,11651050.72,8690.08,Estimate
Oct,United Arab Emirates,Asia,11524121.14,8680.63,Estimate
Nov,United Arab Emirates,Asia,11397191.55,8671.18,Estimate
Dec,United Arab Emirates,Asia,11270261.97,8661.72,Estimate
Jan,United Kingdom,Europe,12727364.00,8506.60,Actual
Feb,United Kingdom,Europe,15219830.98,11333.53,Estimate
Mar,United Kingdom,Europe,15257794.99,11429.35,Estimate
Apr,United Kingdom,Europe,15295759.00,11525.17,Estimate
May,United Kingdom,Europe,15333723.01,11620.99,Estimate
Jun,United Kingdom,Europe,15371687.02,11716.81,Estimate
Jul,United Kingdom,Europe,15409651.03,11812.63,Estimate
Aug,United Kingdom,Europe,15447615.04,11908.45,Estimate
Sep,United Kingdom,Europe,15485579.05,12004.26,Estimate
Oct,United Kingdom,Europe,15523543.06,12100.08,Estimate
Nov,United Kingdom,Europe,15561507.08,12195.90,Estimate
Dec,United Kingdom,Europe,15599471.09,12291.72,Estimate
Jan,Uruguay,Latin America,33577.00,20.00,Actual
Feb,Uruguay,Latin America,72293.69,31.76,Estimate
Mar,Uruguay,Latin America,73399.87,32.60,Estimate
Apr,Uruguay,Latin America,74506.06,33.44,Estimate
May,Uruguay,Latin America,75612.24,34.28,Estimate
Jun,Uruguay,Latin America,76718.42,35.12,Estimate
Jul,Uruguay,Latin America,77824.61,35.96,Estimate
Aug,Uruguay,Latin America,78930.79,36.81,Estimate
Sep,Uruguay,Latin America,80036.97,37.65,Estimate
Oct,Uruguay,Latin America,81143.16,38.49,Estimate
Nov,Uruguay,Latin America,82249.34,39.33,Estimate
Dec,Uruguay,Latin America,83355.52,40.17,Estimate
Jan,USA,North America,8174285.00,5268.09,Actual
Feb,USA,North America,10183397.91,7037.02,Estimate
Mar,USA,North America,10181719.57,7075.51,Estimate
Apr,USA,North America,10180041.22,7114.01,Estimate
May,USA,North America,10178362.87,7152.51,Estimate
Jun,USA,North America,10176684.53,7191.01,Estimate
Jul,USA,North America,10175006.18,7229.51,Estimate
Aug,USA,North America,10173327.83,7268.01,Estimate
Sep,USA,North America,10171649.49,7306.51,Estimate
Oct,USA,North America,10169971.14,7345.00,Estimate
Nov,USA,North America,10168292.79,7383.50,Estimate
Dec,USA,North America,10166614.44,7422.00,Estimate
Jan,Venezuela,Latin America,280324.00,164.14,Actual
Feb,Venezuela,Latin America,246288.23,90.43,Estimate
Mar,Venezuela,Latin America,249399.47,92.37,Estimate
Apr,Venezuela,Latin America,252510.70,94.30,Estimate
May,Venezuela,Latin America,255621.93,96.24,Estimate
Jun,Venezuela,Latin America,258733.17,98.18,Estimate
Jul,Venezuela,Latin America,261844.40,100.11,Estimate
Aug,Venezuela,Latin America,264955.63,102.05,Estimate
Sep,Venezuela,Latin America,268066.87,103.99,Estimate
Oct,Venezuela,Latin America,271178.10,105.93,Estimate
Nov,Venezuela,Latin America,274289.34,107.86,Estimate
Dec,Venezuela,Latin America,277400.57,109.80,Estimate
Jan,Viet Nam,Asia,78940.00,47.00,Actual
Feb,Viet Nam,Asia,262972.02,186.08,Estimate
Mar,Viet Nam,Asia,268148.98,190.44,Estimate
Apr,Viet Nam,Asia,273325.93,194.80,Estimate
May,Viet Nam,Asia,278502.89,199.17,Estimate
Jun,Viet Nam,Asia,283679.85,203.53,Estimate
Jul,Viet Nam,Asia,288856.80,207.89,Estimate
Aug,Viet Nam,Asia,294033.76,212.25,Estimate
Sep,Viet Nam,Asia,299210.72,216.62,Estimate
Oct,Viet Nam,Asia,304387.67,220.98,Estimate
Nov,Viet Nam,Asia,309564.63,225.34,Estimate
Dec,Viet Nam,Asia,314741.59,229.71,Estimate
